"Harriet Ford, Harvey J. O'Higgins and the Famous Detective, William J. Burns",1
Lyrics by,1
Theatre Orchestra,1
J. Hartley Manners,1
Thomas A. Wise,1
Harrison Rhodes,1
Lighting,1
Kliegl Bros.,1
George V. Hobart,1
Wilfred Clarke,1
E. Ray Goetz and John D. Golden,1
Joseph Hart's,1
In a Musical and Terpsichorean Novelty,1
The Grazers,1
Character Singing Comedians,1
Pealson and Goldie,1
"Presenting Mr. Clarke's Farce ""What will happen next?""",1
Wilfried Clarke Company,1
Scenery construction,1
Lew Fields' Production,1
Words by ,1
Rhymes by ,1
Scenery by ,1
Paul Schindler,1
Assistant for Nana,1
Mon. Alexis,1
Tom Vallance,1
Business Managers,1
Charles Fields and Max Weber,1
Stage producer,1
Elaborator,1
Inventor of snow storm effect,1
E. Pinelli,1
Business manager,1
A. Mennilli,1
General manager,1
Ponchielli,1
Donizetti,1
Verdi,1
La Scala Italian Grand Opera Co.,1
Jane Quirk,1
General Stage Director for Jesse L. Lasky,1
John H. M. Dudley,1
Music Arranger for Big City Four,1
"Geoffrey O'Hara, U. S. Government Musical Instructor on the Indian Reservation",1
Suffragette Girl,1
Grace Hall,1
The Man,1
The Servant,1
"""La Brulante""",1
Comedy Star,1
Mrs. McDevitt,1
Business Mechanic,1
Howard Washburn,1
Miss Jane Quirk,1
Fred. De Gresac and Harry B. Smith,1
Gustave Saltzer,1
Frederic A. Bishop,1
Earl C. Anthony and Arthur F. Kales,1
Personal Representative,1
Patrricia Flynn,1
George W. Monroe,1
Hilding Anderson,1
Ward'be Mistress,1
"General Press Representative, Lew Fields",1
"Manager, Lew Fields Company",1
I. Miller,1
New York Calcium Light Co.,1
Costumes & Chorus Gowns,1
Ms. Herlein's gowns and hats,1
"Clarice, New York",1
William J. Wilson,1
J.C. Huffman,1
Leo. C. Teller,1
Carl von Wegern,1
"B. Altman & Co., Fifth Avenue, New York; Boucher & Fils, Paris",1
"Draperies, Hangings and Furniture, etc.",1
"Altman & Co., Fifth Avenue and M. Eilenberg",1
"Russel Uniform, Co., New York",1
"Young Bros., New York",1
"Kliegle Bros., New York",1
Flowers,1
"General Flower and Decorating Company, New York",1
Business representative,1
Paul Philipp,1
Assistant Manager,1
Otto Hess,1
Young Bros.,1
Young Bros,1
